"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"RuiHachimura","WAS","8","F","6-8","230 lbs","Gonzaga","Japan","1629060"
"RudyHackett","IND","45","F","6-9","210 lbs","Syracuse","USA","76910"
"HamedHaddadi","MEM","98","C","7-2","265 lbs","Saba Battery","Iran","201632"
"ScottHaffner","MIA","4","G","6-3","180 lbs","Evansville","USA","76911"
"CliffHagan","ATL","16","F","6-4","210 lbs","Kentucky","USA","76912"
"GlennHagan","DET","10","G","6-0","170 lbs","St. Bonaventure","USA","76913"
"AshtonHagans","MIN","22","G-F","6-3","190 lbs","Kentucky","USA","1630204"
"BobHahn","CHS","","C","6-10","240 lbs","North Carolina State","USA","76914"
"AlHairston","OKC","25","G","6-1","170 lbs","Bowling Green","USA","76915"
"HappyHairston","LAL","52","F","6-7","225 lbs","New York University","USA","76916"
"LindsayHairston","DET","45","F","6-7","180 lbs","Michigan State","USA","76917"
"MalikHairston","SAS","1","G","6-6","220 lbs","Oregon","USA","201612"
"PJHairston","CHA","19","F-G","6-6","230 lbs","North Carolina","USA","203798"
"MarcusHaislip","MIL","12","F","6-10","230 lbs","Tennessee","USA","2409"
"ChuckHalbert","BAL","","C","6-9","225 lbs","West Texas A&M","USA","76918"
"HarveyHalbrook","PHI","11","C","7-3","235 lbs","Oregon State","USA","76919"
"BruceHale","INO","35","G","6-1","170 lbs","Santa Clara","USA","76920"
"JackHaley","BKN","54","C","6-10","242 lbs","UCLA","USA","917"
"TyreseHaliburton","IND","0","G","6-5","185 lbs","Iowa State","USA","1630169"
"ShalerHalimon","POR","11","G","6-5","199 lbs","Utah State","USA","76922"
"DevonHall","OKC","14","G","6-5","215 lbs","Virginia","USA","1628985"
"DontaHall","ORL","45","F","6-9","229 lbs","Alabama","USA","1629743"
"JordanHall","SAS","","G","6-7","215 lbs","St. Joseph's (PA)","USA","1631160"
"JoshHall","OKC","15","F","6-9","190 lbs","Moravian Prep (NC)","USA","1630221"
"MikeHall","WAS","42","F","6-8","230 lbs","George Washington","USA","200837"
"TylerHall","DAL","","G","6-5","209 lbs","Montana State","USA","1629788"
"JeffHalliburton","ATL","42","G","6-5","193 lbs","Drake","USA","76923"
"DarvinHam","MIL","8","F-G","6-7","240 lbs","Texas Tech","USA","1032"
"SteveHamer","BOS","42","C","7-0","245 lbs","Tennessee","USA","984"
"DaleHamilton","WAT","","G","6-0","180 lbs","Franklin","USA","76925"
"DanielHamilton","ATL","25","G-F","6-7","195 lbs","UCONN","USA","1627772"
"DennisHamilton","LAL","12","F","6-8","210 lbs","Arizona State","USA","76926"
"JordanHamilton","DEN","25","G-F","6-7","220 lbs","Texas-Austin","USA","202706"
"JustinHamilton","BKN","41","C","7-0","255 lbs","Louisiana State","USA","203120"
"RalphHamilton","JET","","","","","Indiana","USA","76927"
"RichardHamilton","DET","32","G","6-7","193 lbs","Connecticut","USA","1888"
"RoyleeHamilton","DET","23","G","6-2","180 lbs","UCLA","USA","76928"
"SteveHamilton","LAL","30","F","6-6","190 lbs","Morehead State","USA","76929"
"TangHamilton","MIA","5","F","6-8","205 lbs","Mississippi State","USA","2347"
"ThomasHamilton","HOU","55","C","7-2","330 lbs","Pittsburgh","USA","676"
"ZendonHamilton","DEN","42","C","6-11","240 lbs","St. John's","USA","1985"
"GeertHammink","ORL","43","F-C","7-0","262 lbs","Louisiana State","Netherlands","903"
"TomHammonds","DEN","20","F","6-9","225 lbs","Georgia Tech","USA","67"
"AJHammons","DAL","20","C","7-0","260 lbs","Purdue","USA","1627773"
"R.J.Hampton","ORL","13","G","6-4","175 lbs","New Zealand Breakers","USA","1630181"
"DarrinHancock","CHA","35","F","6-7","205 lbs","Kansas","USA","241"
"BenHandlogten","UTA","44","C","6-10","240 lbs","Western Michigan","USA","1052"
"CecilHankins","BOM","5","G","6-1","175 lbs","Oklahoma State","USA","76935"
"PhilHankinson","BOS","20","F","6-8","195 lbs","Pennsylvania","USA","76936"
"DustyHannahs","MEM","","G","6-3","210 lbs","Arkansas","USA","1628605"
"AlexHannum","SAC","33","F","6-7","210 lbs","Southern California","USA","76937"
"DonHanrahan","INO","","F","6-7","200 lbs","Loyola-Chicago","USA","76938"
"RollenHans","BAL","","G","6-2","210 lbs","Long Island-Brooklyn","USA","76939"
"BenHansbrough","IND","23","G","6-3","203 lbs","Notre Dame","USA","203162"
"TylerHansbrough","IND","50","F","6-9","250 lbs","North Carolina","USA","201946"
"BobHansen","UTA","20","G","6-6","190 lbs","Iowa","USA","76942"
"GlennHansen","SAC","20","G","6-4","205 lbs","Louisiana State","USA","76940"
"LarsHansen","OKC","22","C","6-10","225 lbs","Washington","USA","76941"
"TravisHansen","ATL","6","G-F","6-6","205 lbs","Brigham Young","USA","2580"
"ReggieHanson","BOS","34","F","6-8","195 lbs","Kentucky","USA","1682"
"BillHanzlik","DEN","24","F","6-7","185 lbs","Notre Dame","USA","76944"
"LukeHarangody","CLE","44","F","6-7","245 lbs","Notre Dame","USA","202376"
"AnferneeHardaway","ORL","1","G-F","6-7","215 lbs","Memphis","USA","358"
"TimHardaway","GSW","10","G","6-0","195 lbs","Texas-El Paso","USA","896"
"TimHardaway Jr.","DAL","11","G-F","6-5","205 lbs","Michigan","USA","203501"
"JamesHarden","PHI","1","G","6-5","220 lbs","Arizona State","USA","201935"
"ReggieHarding","DET","17","C","7-0","249 lbs","Eastern HS (MI)","USA","76945"
"CharlieHardnett","WAS","23","F","6-8","225 lbs","Grambling","USA","76946"
"AlanHardy","DET","24","G","6-6","195 lbs","Michigan","USA","76947"
"JadenHardy","DAL","","G","6-4","198 lbs","","USA","1630702"
"JamesHardy","UTA","11","F","6-8","220 lbs","San Francisco","USA","76948"
"JohnHargis","AND","9","G","6-2","180 lbs","Texas-Austin","USA","76949"
"MauriceHarkless","ATL","8","F-G","6-7","220 lbs","St. John's","USA","203090"
"JerryHarkness","NYK","21","G","6-2","175 lbs","Loyola-Chicago","USA","76950"
"SkipHarlicka","ATL","21","G","6-1","185 lbs","South Carolina","USA","76951"
"JeromeHarmon","PHI","40","G","6-4","190 lbs","Louisville","USA","76952"
"DerekHarper","DAL","12","G","6-4","206 lbs","Illinois","USA","157"
"JaredHarper","NOP","2","G","5-10","175 lbs","Auburn","USA","1629607"
"JustinHarper","ORL","32","F-C","6-10","225 lbs","Richmond","USA","202712"
"MikeHarper","POR","32","C","6-10","195 lbs","North Park","USA","76954"
"RonHarper","CHI","4","G","6-6","215 lbs","Miami (Ohio)","USA","166"
"RonHarper Jr.","TOR","","F","6-6","245 lbs","Rutgers","USA","1631199"
"MattHarpring","UTA","15","F","6-7","230 lbs","Georgia Tech","USA","1723"
"MontrezlHarrell","CHA","8","F-C","6-7","240 lbs","Louisville","USA","1626149"
"JoshHarrellson","NYK","55","F-C","6-10","275 lbs","Kentucky","USA","202725"
"AdamHarrington","DAL","21","G","6-5","200 lbs","Auburn","USA","2492"
"AlHarrington","IND","7","F","6-9","245 lbs","St. Patrick HS (NJ)","USA","1733"
"JuniorHarrington","DEN","10","G","6-4","190 lbs","Wingate","USA","2454"
"OthellaHarrington","NYK","24","F-C","6-9","235 lbs","Georgetown","USA","970"
"ArtHarris","PHX","23","G","6-4","185 lbs","Stanford","USA","76956"
"BernieHarris","LAC","34","F","6-10","200 lbs","Virginia Commonwealth","USA","76957"
"BobHarris","BOS","13","F","6-7","195 lbs","Oklahoma State","USA","76959"
"ChrisHarris","SAC","3","G","6-3","190 lbs","Dayton","USA","76958"
"DevinHarris","DAL","34","G","6-3","185 lbs","Wisconsin","USA","2734"
"EliasHarris","LAL","2","F","6-8","239 lbs","Gonzaga","Germany","203548"
"GaryHarris","ORL","14","G","6-4","210 lbs","Michigan State","USA","203914"
"JalenHarris","TOR","2","G","6-5","195 lbs","Nevada","USA","1630223"
"JoeHarris","BKN","12","G-F","6-6","220 lbs","Virginia","USA","203925"
"KevonHarris","ORL","","G","6-6","216 lbs","Stephen F. Austin","USA","1630284"
"LuciousHarris","BKN","12","G","6-5","205 lbs","Long Beach State","USA","446"
"MannyHarris","CLE","6","G","6-5","185 lbs","Michigan","USA","202412"
"MikeHarris","HOU","33","F","6-6","235 lbs","Rice","USA","200839"
"SteveHarris","HOU","20","G","6-5","195 lbs","Tulsa","USA","76960"
"TerrelHarris","MIA","12","G","6-4","190 lbs","Oklahoma State","USA","202227"
"TobiasHarris","PHI","12","F","6-7","226 lbs","Tennessee","USA","202699"
"TonyHarris","BOS","43","G","6-3","190 lbs","New Orleans","USA","76961"
"AaronHarrison","CHA","9","G","6-6","210 lbs","Kentucky","USA","1626151"
"AndrewHarrison","MEM","5","G","6-6","213 lbs","Kentucky","USA","1626150"
"BobHarrison","LAL","3","G","6-1","190 lbs","Michigan","USA","76962"
"DavidHarrison","IND","13","C","7-0","280 lbs","Colorado","USA","2758"
"ShaquilleHarrison","BKN","3","G","6-7","190 lbs","Tulsa","USA","1627885"
"JasonHart","SAC","6","G","6-3","180 lbs","Syracuse","USA","2078"
"JoshHart","POR","11","G","6-5","215 lbs","Villanova","USA","1628404"
"IsaiahHartenstein","NYK","55","C-F","7-0","250 lbs","Zalgiris","Germany","1628392"
"AntonioHarvey","LAL","4","F-C","6-11","250 lbs","Pfeiffer","USA","176"
"DonnellHarvey","DEN","4","F","6-8","220 lbs","Florida","USA","2051"
"KennyHasbrouck","MIA","4","G","6-3","190 lbs","Siena","USA","202238"
"ScottHaskin","IND","43","F","6-11","250 lbs","Oregon State","USA","321"
"ClemHaskins","PHX","14","G","6-3","195 lbs","Western Kentucky","USA","76965"
"UdonisHaslem","MIA","40","F","6-8","235 lbs","Florida","USA","2617"
"TrentonHassell","MIN","44","F-G","6-5","227 lbs","Austin Peay","USA","2239"
"BillyHassett","LAL","8","G","5-10","180 lbs","Notre Dame","USA","76967"
"JoeyHassett","OKC","10","G","6-5","180 lbs","Providence","USA","76966"
"ScottHastings","ATL","10","F","6-10","235 lbs","Arkansas","USA","76968"
"KirkHaston","CHA","35","F","6-9","242 lbs","Indiana","USA","2213"
"VernHatton","GSW","17","G","6-3","195 lbs","Kentucky","USA","76969"
"SamHauser","BOS","30","F","6-7","217 lbs","Virginia","USA","1630573"
"JohnHavlicek","BOS","17","F","6-5","203 lbs","Ohio State","USA","76970"
"SpencerHawes","PHI","00","F-C","7-1","245 lbs","Washington","USA","201150"
"SteveHawes","ATL","10","C","6-9","220 lbs","Washington","USA","76971"
"ConnieHawkins","PHX","42","F","6-8","210 lbs","Iowa","USA","76972"
"HerseyHawkins","PHI","33","G","6-3","200 lbs","Bradley","USA","765"
"JuaquinHawkins","HOU","29","F","6-7","205 lbs","Long Beach State","USA","1038"
"MarshallHawkins","INO","","F","6-3","205 lbs","Tennessee","USA","76974"
"MichaelHawkins","BOS","7","G","6-0","178 lbs","Xavier","USA","1138"
"RobertHawkins","BKN","11","G","6-4","190 lbs","Illinois State","USA","76975"
"TomHawkins","LAL","33","F","6-5","210 lbs","Notre Dame","USA","76977"
"NateHawthorne","PHX","32","G","6-4","190 lbs","Southern Illinois","USA","76978"
"ChuckHayes","HOU","44","C-F","6-6","240 lbs","Kentucky","USA","101236"
"ElvinHayes","WAS","11","F","6-9","235 lbs","Houston","USA","76979"
"JarvisHayes","WAS","22","F","6-8","228 lbs","Georgia","USA","2553"
"JaxsonHayes","NOP","10","C-F","6-11","220 lbs","Texas-Austin","USA","1629637"
"KillianHayes","DET","7","G","6-5","195 lbs","Ratiopharm Ulm","France","1630165"
"NigelHayes","SAC","40","F","6-7","254 lbs","Wisconsin","USA","1628502"
"SteveHayes","CLE","50","C","7-0","205 lbs","Idaho State","USA","76980"
"GordonHayward","CHA","20","F","6-7","225 lbs","Butler","USA","202330"
"LazarHayward","MIN","11","F","6-6","225 lbs","Marquette","USA","202351"
"BrendanHaywood","WAS","33","C","7-0","263 lbs","North Carolina","USA","2217"
"SpencerHaywood","OKC","24","F","6-8","225 lbs","Detroit","USA","76981"
"John W.Hazen","BOS","3-10","G","6-2","172 lbs","Indiana State","USA","76982"
"WaltHazzard","ATL","42","G","6-2","185 lbs","UCLA","USA","76983"
"LutherHead","HOU","13","G","6-3","185 lbs","Illinois","USA","101129"
"ShaneHeal","MIN","10","G","6-0","180 lbs","Sydney Kings","Australia","1049"
"BrianHeaney","WAS","11","G","6-2","180 lbs","Acadia (CAN)","USA","76984"
"GarfieldHeard","PHX","24","F","6-6","219 lbs","Oklahoma","USA","76985"
"ReggieHearn","DET","38","G","6-5","210 lbs","Northwestern","USA","203687"
"HermHedderick","NYK","14","G","6-5","170 lbs","Canisius","USA","76986"
"AlvinHeggs","HOU","55","F","6-8","225 lbs","Texas-Austin","USA","76987"
"TomHeinsohn","BOS","15","F","6-7","218 lbs","Holy Cross","USA","76988"
"DickHemric","BOS","20","F","6-6","220 lbs","Wake Forest","USA","76989"
"AlanHenderson","ATL","44","F-C","6-9","240 lbs","Indiana","USA","673"
"CedricHenderson","CLE","45","F","6-7","225 lbs","Memphis","USA","1538"
"CedricHenderson","ATL","","F","6-8","210 lbs","Georgia","USA","76990"
"DaveHenderson","PHI","3","G","6-5","195 lbs","Duke","USA","76991"
"GeraldHenderson","BOS","12","G","6-2","175 lbs","Virginia Commonwealth","USA","76993"
"GeraldHenderson","CHA","12","G","6-5","215 lbs","Duke","USA","201945"
"J.R.Henderson","MEM","52","F","6-8","233 lbs","UCLA","USA","1764"
"JeromeHenderson","MIL","40","F","6-11","230 lbs","New Mexico","USA","76992"
"KevinHenderson","GSW","12","G","6-4","195 lbs","California State-Fullerton","USA","76994"
"TomHenderson","HOU","6","G","6-3","190 lbs","Hawaii","USA","76996"
"MarkHendrickson","SAC","42","F","6-9","220 lbs","Washington State","USA","971"
"LarryHennessy","GSW","4","G","6-3","185 lbs","Villanova","USA","76998"
"DonHenriksen","SAC","12","F","6-7","225 lbs","California","USA","76999"
"AaronHenry","PHI","50","F","6-5","210 lbs","Michigan State","USA","1630565"
"AlHenry","PHI","26","C","6-9","190 lbs","Wisconsin","USA","77000"
"BillHenry","DET","16","C","6-9","215 lbs","Rice","USA","77004"
"CarlHenry","SAC","11","G","6-6","205 lbs","Kansas","USA","77001"
"ConnerHenry","BOS","","G","6-7","195 lbs","California-Santa Barbara","USA","77002"
"MykeHenry","MEM","4","F","6-6","210 lbs","DePaul","USA","1627988"
"SkeeterHenry","PHX","4","G","6-7","190 lbs","Oklahoma","USA","77003"
"XavierHenry","NOP","7","F-G","6-6","220 lbs","Kansas","USA","202333"
"JohnHenson","MIL","31","F-C","6-9","219 lbs","North Carolina","USA","203089"
"SteveHenson","MIL","12","G","6-1","180 lbs","Kansas State","USA","1667"
"BillHerman","DN","","G","6-3","170 lbs","Mount Union","USA","77006"
"ClarenceHermsen","BOS","10","C","6-9","225 lbs","Minnesota","USA","77007"
"DewanHernandez","TOR","20","C-F","6-10","235 lbs","Miami (FL)","USA","1629608"
"JuanchoHernangomez","TOR","41","F","6-9","214 lbs","Estudiantes","Spain","1627823"
"WillyHernangomez","NOP","9","C-F","6-11","250 lbs","Cajasol Sevilla","Spain","1626195"
"ChrisHerren","DEN","12","G","6-2","190 lbs","Fresno State","USA","1914"
"CarlHerrera","HOU","21","F","6-9","225 lbs","Houston","USA","61"
"WalterHerrmann","DET","5","F","6-9","225 lbs","Malaga","Argentina","200835"
"TylerHerro","MIA","14","G","6-5","195 lbs","Kentucky","USA","1629639"
"KeithHerron","DET","15","G","6-6","195 lbs","Villanova","USA","77010"
"SidneyHertzberg","BOS","4","G","5-10","175 lbs","City College of New York","USA","77011"
"KevinHervey","OKC","15","F","6-9","230 lbs","Texas-Arlington","USA","1628987"
"FredHetzel","GSW","30","F","6-8","220 lbs","Davidson","USA","77012"
"BillHewitt","DET","31","F","6-7","210 lbs","Southern California","USA","77013"
"JackHewson","BOS","17","F","6-6","195 lbs","Temple","USA","77014"
"ArtHeyman","NYK","35","G","6-5","205 lbs","Duke","USA","77015"
"MarioHezonja","ORL","44","F-G","6-8","220 lbs","","Croatia","1626209"
"RoyHibbert","IND","34","C","7-2","270 lbs","Georgetown","USA","201579"
"MatthewHickey","PRO","","G","5-11","180 lbs","Hoboken HS (NJ)","USA","77016"
"IsaiahHicks","NYK","4","F","6-9","230 lbs","North Carolina","USA","1628439"
"PhilHicks","CHI","55","F","6-7","205 lbs","Tulane","USA","77017"
"JJHickson","CLE","21","C-F","6-9","242 lbs","North Carolina State","USA","201581"
"BuddyHield","IND","24","G","6-4","220 lbs","Oklahoma","Bahamas","1627741"
"CoryHiggins","CHA","11","G","6-5","180 lbs","Colorado","USA","202809"
"MikeHiggins","SAC","32","F","6-9","220 lbs","Northern Colorado","USA","1848"
"RodHiggins","GSW","32","F","6-7","200 lbs","Fresno State","USA","77019"
"SeanHiggins","BKN","9","G-F","6-9","215 lbs","Michigan","USA","925"
"KennyHiggs","DEN","1","G","6-0","180 lbs","Louisiana State","USA","77021"
"JohnnyHigh","PHX","11","G","6-3","185 lbs","Nevada-Reno","USA","77022"
"HaywoodHighsmith","MIA","24","F","6-4","220 lbs","Wheeling Jesuit","USA","1629312"
"WayneHightower","GSW","12","F","6-8","192 lbs","Kansas","USA","77023"
"Nene","DEN","42","C-F","6-11","250 lbs","","Brazil","2403"
"ArmondHill","ATL","24","G","6-4","190 lbs","Princeton","USA","77024"
"CleoHill","ATL","24","G","6-1","185 lbs","Winston-Salem State","USA","77025"
"GaryHill","GSW","20","G","6-4","185 lbs","Oklahoma City","USA","77026"
"GeorgeHill","MIL","3","G","6-4","188 lbs","Indiana-Purdue Indianapolis","USA","201588"
"GrantHill","DET","33","F","6-8","225 lbs","Duke","USA","255"
"HerbertHill","PHI","35","F-C","6-10","240 lbs","Providence","USA","201195"
"JordanHill","LAL","27","F-C","6-10","240 lbs","Arizona","USA","201941"
"MalcolmHill","CHI","14","F","6-6","220 lbs","Illinois","USA","1630792"
"SolomonHill","ATL","18","F","6-6","226 lbs","Arizona","USA","203524"
"StevenHill","OKC","51","C","7-0","245 lbs","Arkansas","USA","201631"
"TyroneHill","CLE","32","F","6-9","250 lbs","Xavier","USA","238"
"ArtHillhouse","GSW","18","C","6-7","220 lbs","Long Island-Brooklyn","USA","77027"
"DarrunHilliard","DET","24","G","6-6","220 lbs","Villanova","USA","1626199"
"DarnellHillman","IND","30","F","6-9","215 lbs","San Jose State","USA","77028"
"FredHilton","LAC","32","G","6-3","185 lbs","Grambling","USA","77029"
"KirkHinrich","CHI","12","G","6-4","190 lbs","Kansas","USA","2550"
"RoyHinson","CLE","6","C","6-9","210 lbs","Rutgers","USA","77030"
"NateHinton","IND","14","G-F","6-5","210 lbs","Houston","USA","1630207"
"MelHirsch","BOS","3","G","5-6","165 lbs","Brooklyn","USA","77031"
"LewHitch","LAL","14","F","6-8","200 lbs","Kansas State","USA","77032"
"RobertHite","MIA","","G","6-2","184 lbs","Miami","USA","200823"
"JaylenHoard","OKC","8","F","6-8","216 lbs","Wake Forest","France","1629658"
"DaringtonHobson","MIL","11","G","6-7","210 lbs","New Mexico","USA","202359"
"DonaldHodge","DAL","35","F","7-0","230 lbs","Temple","USA","1106"
"JuliusHodge","DEN","32","G","6-7","210 lbs","North Carolina State","USA","101125"
"CraigHodges","MIL","14","G","6-2","190 lbs","Long Beach State","USA","77034"
"AdolphHoefer","BOS","3","G","5-9","158 lbs","Queens","USA","77035"
"Bear, The BodyHoffman","BAL","14","G","6-2","195 lbs","Purdue","USA","77036"
"BobHogsett","DET","20","F","6-7","230 lbs","Tennessee","USA","77037"
"PaulHogue","NYK","14","C","6-9","240 lbs","Cincinnati","USA","77038"
"FredHoiberg","CHI","32","G","6-5","210 lbs","Iowa State","USA","697"
"DougHolcomb","BAL","","F","6-4","200 lbs","Wisconsin","USA","77039"
"RandyHolcomb","CHI","23","F","6-9","220 lbs","San Diego State","USA","2450"
"AaronHoliday","ATL","4","G","6-0","185 lbs","UCLA","USA","1628988"
"JrueHoliday","MIL","21","G","6-3","205 lbs","UCLA","USA","201950"
"JustinHoliday","ATL","9","F-G","6-6","180 lbs","Washington","USA","203200"
"BradHolland","LAL","14","G","6-3","180 lbs","UCLA","USA","77040"
"JoeHolland","INO","","F","6-4","185 lbs","Kentucky","USA","77041"
"JohnHolland","CLE","30","G-F","6-5","205 lbs","Boston U.","USA","204066"
"WilburHolland","CHI","12","G","6-0","175 lbs","New Orleans","USA","77042"
"LionelHollins","POR","14","G","6-3","185 lbs","Arizona State","USA","77043"
"RyanHollins","LAC","5","C","7-0","240 lbs","UCLA","USA","200797"
"EssieHollis","DET","22-24","F","6-6","195 lbs","St. Bonaventure","USA","77044"
"RondaeHollis-Jefferson","BKN","2","F","6-6","217 lbs","Arizona","USA","1626178"
"RichaunHolmes","SAC","22","F","6-10","235 lbs","Bowling Green","USA","1626158"
"ChetHolmgren","OKC","7","C-F","7-0","195 lbs","Gonzaga","USA","1631096"
"JimHolstein","LAL","10","F","6-3","180 lbs","Cincinnati","USA","77045"
"AlvinHolt","CHI","6","F","6-7","210 lbs","Jackson State","USA","77046"
"MichaelHolton","POR","6","G","6-4","185 lbs","UCLA","USA","77047"
"DickHolub","NYK","11","C","6-6","205 lbs","Long Island-Brooklyn","USA","77048"
"JoeHolup","DET","9","F","6-6","215 lbs","George Washington","USA","77049"
